"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher_p","padj","Lineage","Condition","Ontology","N_focal","N_universe"
"GO:0009165","nucleotide biosynthetic process",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009259","ribonucleotide metabolic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009889","regulation of biosynthetic process",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0010468","regulation of gene expression",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0010556","regulation of macromolecule biosynthetic process",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0015031","protein transport",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0016053","organic acid biosynthetic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0016071","mRNA metabolic process",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0019219","regulation of nucleobase-containing compound metabolic process",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0019222","regulation of metabolic process",11,0,0.5,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0019637","organophosphate metabolic process",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0019693","ribose phosphate metabolic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0019752","carboxylic acid metabolic process",12,0,0.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0036211","protein modification process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0043412","macromolecule modification",10,0,0.45,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0043436","oxoacid metabolic process",13,0,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0043933","protein-containing complex organization",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0046394","carboxylic acid biosynthetic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0051252","regulation of RNA metabolic process",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0051276","chromosome organization",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0055086","nucleobase-containing small molecule metabolic process",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0060255","regulation of macromolecule metabolic process",10,0,0.45,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0065003","protein-containing complex assembly",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0071705","nitrogen compound transport",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0072521","purine-containing compound metabolic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0072522","purine-containing compound biosynthetic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0080090","regulation of primary metabolic process",9,0,0.41,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0090407","organophosphate biosynthetic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0170033","L-amino acid metabolic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0170034","L-amino acid biosynthetic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0170038","proteinogenic amino acid biosynthetic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0170039","proteinogenic amino acid metabolic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:1901135","carbohydrate derivative metabolic process",10,0,0.45,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:1901137","carbohydrate derivative biosynthetic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:1901293","nucleoside phosphate biosynthetic process",6,0,0.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:1901605","alpha-amino acid metabolic process",7,0,0.32,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:1901607","alpha-amino acid biosynthetic process",5,0,0.23,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:2001141","regulation of RNA biosynthetic process",8,0,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0016070","RNA metabolic process",34,7,4.39,"0.035",0.035,1,"Trebouxia","Intensified","BP",105,245
"GO:0043412","macromolecule modification",10,3,1.29,"0.040",0.04,1,"Trebouxia","Intensified","BP",105,245
"GO:0043170","macromolecule metabolic process",104,16,13.44,"0.093",0.093,1,"Trebouxia","Intensified","BP",105,245
"GO:0006396","RNA processing",13,3,1.68,"0.116",0.116,1,"Trebouxia","Intensified","BP",105,245
